,Country,GDPpercapita,Year
1,Liechtenstein ,180227,2020
2,Monaco ,173696,2020
3,Luxembourg ,117182,2020
4,Bermuda ,123945,2020
5,Ireland ,86251,2020
6,Norway ,66871,2020
7,Switzerland ,86919,2020
9,Cayman Islands ,95191,2020
10,Qatar ,50815,2020
11,Singapore ,58114,2020
12,United States ,63123,2020
14,Iceland ,63644,2020
15,Australia ,55823,2020
17,Denmark ,61477,2020
18,Canada ,43560,2020
19,Sweden ,53575,2020
20,Netherlands ,53334,2020
21,Israel ,47034,2020
22,Greenland ,55139,2020
23,Austria ,48106,2020
24,Finland ,48685,2020
25,Belgium ,45028,2020
26,Hong Kong ,46611,2020
27,British Virgin Islands ,49357,2020
28,Germany ,45909,2020
29,United Arab Emirates ,36285,2020
30,San Marino ,45832,2020
31,United Kingdom ,40718,2020
32,New Zealand ,43972,2020
33,Brunei ,27437,2020
34,France ,38959,2020
35,Andorra ,37072,2020
37,Puerto Rico ,36052,2020
38,Kuwait ,24809,2020
39,European Union *[n 1,35485,2020
40,Taiwan ,28383,2020
41,New Caledonia ,34006,2020
43,Japan ,39990,2020
44,Italy ,31238,2020
45,Macau ,37474,2020
46,South Korea ,31947,2020
47,Malta ,33771,2020
48,Bahamas ,25194,2020
49,Aruba ,23386,2020
50,Cyprus ,28133,2020
51,Slovenia ,25777,2020
52,Estonia ,23106,2020
53,Spain ,27409,2020
54,Bahrain ,19925,2020
55,Czech Republic ,22911,2020
56,Saudi Arabia ,20110,2020
57,Portugal ,22413,2020
58,Turks and Caicos Islands ,23881,2020
59,Lithuania ,20772,2020
60,Oman ,12409,2020
61,Iran ,11183,2020
62,Latvia ,17871,2020
64,Greece ,18117,2020
65,Trinidad and Tobago ,15286,2020
67,Slovakia ,19264,2020
68,Seychelles ,10767,2020
69,French Polynesia ,20707,2020
70,Uruguay ,15438,2020
71,Barbados ,15449,2020
72,Sint Maarten (Dutch part) ,20000,2020
73,Saint Kitts and Nevis ,17434,2020
74,Poland ,15764,2020
75,Hungary ,16129,2020
76,Guyana ,6956,2020
77,Croatia ,13934,2020
78,Anguilla ,17226,2020
79,Antigua and Barbuda ,13993,2020
80,Panama ,12269,2020
81,Cook Islands ,16135,2020
82,Curaçao ,15819,2020
83,Romania ,12929,2020
84,Chile ,13232,2020
85,Maldives ,6924,2020
86,Russia ,10166,2020
87,Argentina ,8476,2020
88,Montserrat ,13523,2020
89,Worl,10949,2020
90,Malaysia ,10402,2020
91,Costa Rica ,12077,2020
92,China ,10229,2020
94,Palau ,14567,2020
95,Bulgaria ,10058,2020
96,Turkmenistan ,7104,2020
97,Kazakhstan ,9111,2020
98,Equatorial Guinea ,7143,2020
99,Mexico ,8326,2020
100,Saint Lucia ,8805,2020
101,Dominican Republic ,7268,2020
102,Grenada ,9273,2020
103,Gabon ,6789,2020
104,Nauru ,12510,2020
105,Turkey ,8538,2020
106,Montenegro ,7626,2020
