country,happiness2021
Finland,7.842
Denmark,7.62
Switzerland,7.571
Iceland,7.554
Netherlands,7.464
Norway,7.392
Sweden,7.363
Luxembourg,7.324
New Zealand,7.277
Austria,7.268
Australia,7.183
Israel,98
Germany,7.155
Canada,7.103
Ireland,7.085
Costa Rica,124
United Kingdom,7.064
Czech Republic,6.965
United States of America,6.951
Belgium,6.834
France,6.69
Bahrain,154
Malta,6.602
Taiwan,6.584
United Arab Emirates,97
Saudi Arabia,41
Spain,6.491
Italy,6.483
Slovenia,6.461
Guatemala,68
Uruguay,133
Singapore,6.377
Slovakia,6.331
Brazil,7
Mexico,10
Jamaica,6.309
Lithuania,6.255
Cyprus,158
Estonia,6.189
Panama,128
Uzbekistan,43
Chile,65
Poland,6.166
Kazakhstan,6.152
Romania,6.14
Kuwait,129
Serbia,6.078
El Salvador,112
Mauritius,157
Latvia,6.032
Colombia,28
Hungary,5.992
Thailand,5.985
Nicaragua,106
Japan,5.94
Argentina,33
Portugal,5.929
Honduras,89
Croatia,5.882
Philippines,5.88
South Korea,5.845
Peru,44
Bosnia and Herzegovina,5.813
Moldova,5.766
Ecuador,67
Kyrgyzstan,110
Greece,5.723
Bolivia,80
Mongolia,5.677
Paraguay,109
Montenegro,5.581
Dominican Republic,5.545
Belarus,5.534
Russia,5.477
Hong Kong,5.477
Tajikistan,95
Vietnam,5.411
Libya,5.41
Malaysia,5.384
Indonesia,5.345
Republic of the Congo,114
China,5.339
Ivory Coast,52
Armenia,5.283
Nepal,49
Bulgaria,5.266
Maldives,174
Azerbaijan,5.171
Cameroon,53
Senegal,72
Albania,5.117
North Macedonia,5.101
Ghana,47
Niger,54
Turkmenistan,111
Gambia,142
Benin,77
Laos,5.03
Bangladesh,8
Guinea,75
South Africa,24
Turkey,18
Pakistan,5
Morocco,4.918
Venezuela,51
Georgia,4.891
Algeria,4.887
Ukraine,4.875
Iraq,35
Gabon,146
Burkina Faso,58
Cambodia,4.83
Mozambique,48
Nigeria,6
Mali,59
Iran,17
Uganda,31
Liberia,121
Kenya,27
Tunisia,4.596
Lebanon,119
Namibia,145
Myanmar,4.426
Jordan,83
Chad,69
Sri Lanka,61
Eswatini,159
Comoros,163
Egypt,14
Ethiopia,12
Mauritania,126
Madagascar,50
Togo,100
Zambia,63
Sierra Leone,102
India,2
Burundi,78
Yemen,46
Tanzania,22
Haiti,3.615
Malawi,62
Lesotho,147
Botswana,144
Rwanda,76
Zimbabwe,74
Afghanistan,36
